gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalServiceCost,cluster_label
1,0,1,-1.276681743030352,1,0,-0.1498811302412833,1.0,0.0,0.0,0.0,1.0,-0.976299301287248,0
0,0,0,-0.0960885751897036,1,0,-0.3151252083163863,1.0,0.0,0.0,1.0,0.0,-0.2738511580182909,0
0,1,0,0.5552731725844472,1,1,1.172071494359541,0.0,1.0,1.0,0.0,0.0,1.0294331329524156,1
1,0,0,0.4331428448767939,1,0,0.0484117634488403,1.0,0.0,0.0,1.0,0.0,0.2509968886505902,0
1,0,0,-1.276681743030352,1,1,-1.4718337548421077,0.0,1.0,0.0,0.0,1.0,-0.9939709526902406,0
1,0,1,-0.9102907599073924,1,1,-1.3065896767670044,0.0,1.0,1.0,0.0,0.0,-0.892358957123033,0
1,0,1,1.6137360127174425,0,0,0.0153629478338196,1.0,0.0,1.0,0.0,0.0,1.0647764357584009,1
1,0,0,1.369475357302136,0,1,-0.2490275770863451,0.0,1.0,1.0,0.0,0.0,0.65921203605972,1
0,0,0,1.4101854665380202,1,1,-1.438784939227087,1.0,0.0,0.0,0.0,1.0,-0.3812064402914711,0
0,0,1,0.1074619709897184,1,1,-0.4803692863914894,0.0,1.0,1.0,0.0,0.0,-0.2296720295108093,0
1,0,1,1.6137360127174425,1,1,1.4364620192797055,0.0,1.0,0.0,0.0,1.0,2.4325622543500307,1
0,0,0,0.1888821894614873,0,0,-0.8108574425416955,0.0,1.0,0.0,1.0,0.0,-0.3489556764810096,0
1,0,1,1.6137360127174425,1,1,1.3703643880496643,0.0,1.0,0.0,0.0,1.0,2.3689443092992573,1
1,0,0,-0.8288705414356234,1,0,0.6763392601342318,0.0,1.0,0.0,1.0,0.0,-0.5521796676154248,0
1,0,1,0.718113609527985,1,0,0.3788999195990463,1.0,0.0,1.0,0.0,0.0,0.676000104892563,1
1,1,0,1.2473450295944826,0,0,-0.9430527050017778,1.0,0.0,1.0,0.0,0.0,-0.0008241438420547,0
0,0,0,-0.5438997767844324,1,1,0.742436891364273,1.0,0.0,0.0,0.0,1.0,-0.2725257841630664,0
1,0,0,-0.5846098860203168,1,0,0.1806070259089227,1.0,0.0,1.0,0.0,0.0,-0.4461497591974691,0
1,1,1,-0.1775087936614725,1,1,-0.4473204707764688,0.0,1.0,0.0,1.0,0.0,-0.3719288233049,0
1,0,1,-0.1775087936614725,1,1,0.9407297850543966,1.0,0.0,0.0,0.0,1.0,0.1476177279430833,0
1,0,1,0.1074619709897184,1,1,0.8415833382093348,0.0,1.0,1.0,0.0,0.0,0.3888357695939327,1
0,0,0,-1.276681743030352,1,0,-1.4718337548421077,0.0,1.0,0.0,0.0,1.0,-0.9939709526902406,0
1,0,0,-0.7474503229638545,0,1,-1.1082967830768808,1.0,0.0,0.0,0.0,1.0,-0.8110693606692668,0
0,0,1,0.1074619709897184,1,0,1.4034132036646851,1.0,0.0,1.0,0.0,0.0,0.6517015842134481,1
0,0,0,-1.276681743030352,1,1,-1.4718337548421077,1.0,0.0,0.0,1.0,0.0,-0.9939709526902406,0
0,0,0,1.0437944834150603,1,1,1.238169125589582,0.0,1.0,1.0,0.0,0.0,1.610830464110873,1
0,0,0,-0.1775087936614725,1,1,1.337315572434644,1.0,0.0,0.0,0.0,1.0,0.2960595997282214,1
1,0,1,-1.1138413060868144,1,1,0.5110951820591287,1.0,0.0,0.0,1.0,0.0,-0.8260902643618107,0
1,0,0,1.573025903481558,1,1,0.3128022883690051,0.0,1.0,1.0,0.0,0.0,1.318364633391345,1
0,0,0,-0.4624795583126635,1,1,1.0729250475144791,1.0,0.0,1.0,0.0,0.0,-0.1028779306943372,0
0,0,0,0.7995338279997538,1,0,-0.2159787614713245,1.0,0.0,1.0,0.0,0.0,0.3296357373939074,1
0,0,0,-0.7067402137279701,1,0,1.1390226787445203,1.0,0.0,1.0,0.0,0.0,-0.3467467200556355,0
1,0,0,-0.4624795583126635,1,1,0.57719281328917,1.0,0.0,0.0,1.0,0.0,-0.2420421854929041,0
0,0,0,1.1252147018868293,1,1,-1.438784939227087,1.0,0.0,0.0,0.0,1.0,-0.4461497591974691,0
1,0,0,1.369475357302136,1,1,1.0729250475144791,1.0,0.0,1.0,0.0,0.0,1.8255410286572336,1
0,1,0,-0.7067402137279701,1,0,0.3458511039840257,0.0,1.0,1.0,0.0,0.0,-0.5057915826825692,0
0,0,0,0.0260417525179496,1,0,0.1806070259089227,1.0,0.0,1.0,0.0,0.0,0.0177310901310874,0
1,0,1,-0.9102907599073924,1,0,-1.339638492382025,1.0,0.0,1.0,0.0,0.0,-0.8967768699737811,0
1,0,1,1.6137360127174425,1,1,0.3458511039840257,1.0,0.0,1.0,0.0,0.0,1.382866161012268,1
1,1,0,0.3110125171691406,1,0,-0.2820763927013657,1.0,0.0,0.0,0.0,1.0,-0.0131942998241496,0
0,0,0,-0.0960885751897036,1,0,-0.51341810200651,1.0,0.0,0.0,1.0,0.0,-0.3533735893317578,0
1,0,0,-1.1952615245585831,1,1,0.411948735214067,0.0,1.0,1.0,0.0,0.0,-0.9007529915394544,0
1,1,0,1.4916056850097892,0,1,-0.2490275770863451,0.0,1.0,1.0,0.0,0.0,0.7347583458075134,1
0,0,0,1.003084374179176,1,0,1.006827416284438,1.0,0.0,0.0,1.0,0.0,1.3894930302883903,1
0,0,0,1.6137360127174425,1,1,1.7008525441998703,0.0,1.0,0.0,1.0,0.0,2.6870340345531245,1
1,0,0,-0.4217694490767791,1,1,-0.1829299458563039,0.0,1.0,1.0,0.0,0.0,-0.429361690364626,0
0,0,1,0.6774035002921005,0,1,-0.9430527050017778,0.0,1.0,1.0,0.0,0.0,-0.2234869515197619,0
0,0,0,-0.1367986844255881,1,0,-1.4718337548421077,0.0,1.0,1.0,0.0,0.0,-0.7465678330483437,0
0,1,1,0.066751861753834,1,0,0.5110951820591287,1.0,0.0,0.0,1.0,0.0,0.1988655170117619,0
0,0,0,-1.2359716337944675,1,1,-0.4473204707764688,1.0,0.0,0.0,1.0,0.0,-0.9577440673141056,0
1,0,0,0.1074619709897184,1,0,-1.438784939227087,1.0,0.0,1.0,0.0,0.0,-0.6780901838617474,0
0,0,0,-1.07313119685093,1,1,0.8746321538243554,0.0,1.0,0.0,0.0,1.0,-0.7615887367408876,0
1,0,1,1.2473450295944826,1,1,-1.5048825704571285,0.0,1.0,1.0,0.0,0.0,-0.4739826101571824,0
0,0,0,-1.2359716337944675,1,1,0.5441439976741493,1.0,0.0,0.0,0.0,1.0,-0.9312365902096168,0
1,0,0,1.288055138830367,1,0,1.1390226787445203,1.0,0.0,1.0,0.0,0.0,1.7963828038422958,1
1,0,1,-0.503189667548548,1,0,-1.4718337548421077,0.0,1.0,1.0,0.0,0.0,-0.8260902643618107,0
1,0,1,0.2295922986973717,1,1,0.4780463664441082,0.0,1.0,0.0,0.0,1.0,0.32345065940286,1
1,0,0,-0.788160432199739,1,1,0.3128022883690051,0.0,1.0,0.0,0.0,1.0,-0.5778035621497641,0
1,0,1,-0.5438997767844324,1,1,1.2051203099745615,1.0,0.0,1.0,0.0,0.0,-0.1550093023331654,0
0,0,1,1.4916056850097892,1,0,1.4695108348947263,1.0,0.0,0.0,1.0,0.0,2.319905476655953,1
