gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,TotalServiceCost
1,0,1,1,1,0,60,1.0,0.0,0.0,0.0,1.0,60
0,0,0,30,1,0,55,1.0,0.0,0.0,1.0,0.0,1650
0,1,0,46,1,1,100,0.0,1.0,1.0,0.0,0.0,4600
1,0,0,43,1,0,66,1.0,0.0,0.0,1.0,0.0,2838
1,0,0,1,1,1,20,0.0,1.0,0.0,0.0,1.0,20
1,0,1,10,1,1,25,0.0,1.0,1.0,0.0,0.0,250
1,0,1,72,0,0,65,1.0,0.0,1.0,0.0,0.0,4680
1,0,0,66,0,1,57,0.0,1.0,1.0,0.0,0.0,3762
0,0,0,67,1,1,21,1.0,0.0,0.0,0.0,1.0,1407
0,0,1,35,1,1,50,0.0,1.0,1.0,0.0,0.0,1750
1,0,1,72,1,1,108,0.0,1.0,0.0,0.0,1.0,7776
0,0,0,37,0,0,40,0.0,1.0,0.0,1.0,0.0,1480
1,0,1,72,1,1,106,0.0,1.0,0.0,0.0,1.0,7632
1,0,0,12,1,0,85,0.0,1.0,0.0,1.0,0.0,1020
1,0,1,50,1,0,76,1.0,0.0,1.0,0.0,0.0,3800
1,1,0,63,0,0,36,1.0,0.0,1.0,0.0,0.0,2268
0,0,0,19,1,1,87,1.0,0.0,0.0,0.0,1.0,1653
1,0,0,18,1,0,70,1.0,0.0,1.0,0.0,0.0,1260
1,1,1,28,1,1,51,0.0,1.0,0.0,1.0,0.0,1428
1,0,1,28,1,1,93,1.0,0.0,0.0,0.0,1.0,2604
1,0,1,35,1,1,90,0.0,1.0,1.0,0.0,0.0,3150
0,0,0,1,1,0,20,0.0,1.0,0.0,0.0,1.0,20
1,0,0,14,0,1,31,1.0,0.0,0.0,0.0,1.0,434
0,0,1,35,1,0,107,1.0,0.0,1.0,0.0,0.0,3745
0,0,0,1,1,1,20,1.0,0.0,0.0,1.0,0.0,20
0,0,0,58,1,1,102,0.0,1.0,1.0,0.0,0.0,5916
0,0,0,28,1,1,105,1.0,0.0,0.0,0.0,1.0,2940
1,0,1,5,1,1,80,1.0,0.0,0.0,1.0,0.0,400
1,0,0,71,1,1,74,0.0,1.0,1.0,0.0,0.0,5254
0,0,0,21,1,1,97,1.0,0.0,1.0,0.0,0.0,2037
0,0,0,52,1,0,58,1.0,0.0,1.0,0.0,0.0,3016
0,0,0,15,1,0,99,1.0,0.0,1.0,0.0,0.0,1485
1,0,0,21,1,1,82,1.0,0.0,0.0,1.0,0.0,1722
0,0,0,60,1,1,21,1.0,0.0,0.0,0.0,1.0,1260
1,0,0,66,1,1,97,1.0,0.0,1.0,0.0,0.0,6402
0,1,0,15,1,0,75,0.0,1.0,1.0,0.0,0.0,1125
0,0,0,33,1,0,70,1.0,0.0,1.0,0.0,0.0,2310
1,0,1,10,1,0,24,1.0,0.0,1.0,0.0,0.0,240
1,0,1,72,1,1,75,1.0,0.0,1.0,0.0,0.0,5400
1,1,0,40,1,0,56,1.0,0.0,0.0,0.0,1.0,2240
0,0,0,30,1,0,49,1.0,0.0,0.0,1.0,0.0,1470
1,0,0,3,1,1,77,0.0,1.0,1.0,0.0,0.0,231
1,1,0,69,0,1,57,0.0,1.0,1.0,0.0,0.0,3933
0,0,0,57,1,0,95,1.0,0.0,0.0,1.0,0.0,5415
0,0,0,72,1,1,116,0.0,1.0,0.0,1.0,0.0,8352
1,0,0,22,1,1,59,0.0,1.0,1.0,0.0,0.0,1298
0,0,1,49,0,1,36,0.0,1.0,1.0,0.0,0.0,1764
0,0,0,29,1,0,20,0.0,1.0,1.0,0.0,0.0,580
0,1,1,34,1,0,80,1.0,0.0,0.0,1.0,0.0,2720
0,0,0,2,1,1,51,1.0,0.0,0.0,1.0,0.0,102
1,0,0,35,1,0,21,1.0,0.0,1.0,0.0,0.0,735
0,0,0,6,1,1,91,0.0,1.0,0.0,0.0,1.0,546
1,0,1,63,1,1,19,0.0,1.0,1.0,0.0,0.0,1197
0,0,0,2,1,1,81,1.0,0.0,0.0,0.0,1.0,162
1,0,0,64,1,0,99,1.0,0.0,1.0,0.0,0.0,6336
1,0,1,20,1,0,20,0.0,1.0,1.0,0.0,0.0,400
1,0,1,38,1,1,79,0.0,1.0,0.0,0.0,1.0,3002
1,0,0,13,1,1,74,0.0,1.0,0.0,0.0,1.0,962
1,0,1,19,1,1,101,1.0,0.0,1.0,0.0,0.0,1919
0,0,1,69,1,0,109,1.0,0.0,0.0,1.0,0.0,7521
0,0,0,14,1,1,86,1.0,0.0,0.0,0.0,1.0,1204
1,1,0,8,1,0,61,1.0,0.0,0.0,1.0,0.0,488
0,0,0,4,1,1,79,1.0,0.0,1.0,0.0,0.0,316
0,0,0,13,1,0,75,1.0,0.0,1.0,0.0,0.0,975
1,0,0,1,1,0,44,0.0,1.0,1.0,0.0,0.0,44
0,0,0,58,1,0,25,1.0,0.0,0.0,0.0,1.0,1450
0,0,1,11,0,0,51,1.0,0.0,0.0,0.0,1.0,561
0,1,0,1,1,0,74,1.0,0.0,1.0,0.0,0.0,74
1,0,1,47,1,0,25,1.0,0.0,0.0,0.0,1.0,1175
0,0,0,58,1,1,84,0.0,1.0,1.0,0.0,0.0,4872
