gender,SeniorCitizen,Dependents,PhoneService,MultipleLines,InternetService_DSL,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,tenure,MonthlyCharges,TotalServiceCost
0,0,1,1,1,0.0,1.0,1.0,0.0,0.0,0.9475056980991376,1.4878602552140896,1.6942267248045504
0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,1.2351904566212948,-0.2305926220726953,0.6122214407031238
0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.8242122301610703,0.9487377839084316,1.1724902431543331
1,0,1,1,0,1.0,0.0,1.0,0.0,0.0,1.6050708604354966,1.622640873040504,2.60128641446469
1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-0.9840919662639172,0.3422250036895663,-0.7310949844625033
1,0,0,1,0,0.0,1.0,1.0,0.0,0.0,0.16664706782471123,0.14005407694994457,0.11307287124659171
0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.2488427131167561,-0.5001538577255242,-0.15311017244761926
1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,1.5639730377894743,1.3193844829310715,2.2677825344285156
0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,-0.9429941436178947,-0.8708005567481641,-0.856878652364593
0,0,1,1,1,0.0,1.0,0.0,1.0,0.0,0.2488427131167561,-1.5447036458802366,-0.6885765615096843
1,1,0,1,1,0.0,1.0,1.0,0.0,0.0,-0.7786028530338049,-1.5447036458802366,-0.9100266810556168
0,0,1,1,0,0.0,1.0,1.0,0.0,0.0,0.7831144075150479,-1.5447036458802366,-0.5734224993457993
0,1,0,1,0,0.0,1.0,1.0,0.0,0.0,-0.7375050303877825,0.30852984923296267,-0.5357759790229908
1,0,1,1,0,1.0,0.0,0.0,0.0,1.0,-0.49091809451164786,1.2856893284744677,-0.06674462582470556
0,0,1,1,1,1.0,0.0,1.0,0.0,0.0,0.7831144075150479,-1.3762278735972184,-0.45826843718191435
0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,-1.3128745474320966,-0.7360199389217497,-1.014551137481297
1,0,0,1,1,0.0,1.0,1.0,0.0,0.0,-1.230678902140052,0.10635892249334095,-0.942358398509323
1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,-1.2717767247860743,-0.3653732398991098,-0.9853197217012339
1,0,1,0,0,1.0,0.0,0.0,0.0,1.0,1.2351904566212948,-0.8371054022915605,0.10997256957294865
1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-0.038842045405400996,0.7465668571688098,0.21316832528135324
0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.5639730377894743,-0.6349344755519388,0.44391934984821496
0,1,0,1,1,0.0,1.0,1.0,0.0,0.0,0.20774489047073366,0.30852984923296267,0.22822693341047665
0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,-1.148483256848007,-1.3762278735972184,-0.978676218114856
1,0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.6050708604354966,1.1846038651046569,2.1867317906747044
0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0.08445142253266633,0.6454813937989989,0.2835894632969598
1,0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.522875215143452,0.3759201581461699,1.3531935407038143
0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-0.12103769069744588,0.9487377839084316,0.21493992623772068
1,1,0,1,1,1.0,0.0,0.0,0.0,1.0,1.5639730377894743,-1.3762278735972184,-0.2478908236132784
1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.6050708604354966,1.1172135561914496,2.1229541562454757
1,0,1,0,0,0.0,1.0,1.0,0.0,0.0,-0.8197006756798274,-0.8371054022915605,-0.7979729205653749
1,0,1,1,0,0.0,1.0,1.0,0.0,0.0,-0.3265268039275581,-0.12950715870288443,-0.3475433774089481
1,0,1,1,1,0.0,1.0,1.0,0.0,0.0,1.1118969886832273,0.2748346947763591,0.9324383135665423
0,1,0,1,0,0.0,1.0,1.0,0.0,0.0,0.6598209395769805,1.2182990195612606,1.179576646979803
0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,-0.7375050303877825,0.3422250036895663,-0.5291324754366128
1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.04335359988664389,-1.5447036458802366,-0.7328665854188707
1,0,1,1,0,1.0,0.0,1.0,0.0,0.0,1.5639730377894743,1.1509087106480533,2.1105529495509034
0,0,0,1,0,1.0,0.0,0.0,1.0,0.0,1.522875215143452,1.622640873040504,2.5003051599517447
0,0,1,1,0,0.0,1.0,1.0,0.0,0.0,1.522875215143452,-1.4099230280538222,-0.2899663463270056
0,0,1,1,1,1.0,0.0,0.0,0.0,1.0,-1.3128745474320966,1.2182990195612606,-0.9888629236139689
1,0,1,1,0,0.0,1.0,1.0,0.0,0.0,-1.3128745474320966,-0.702324784465146,-1.0141082372422052
1,1,0,1,0,1.0,0.0,0.0,1.0,0.0,-1.230678902140052,0.9824329383650352,-0.9078121798601575
1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-1.3128745474320966,-1.5783988003368403,-1.0256236434585937
0,0,1,1,0,0.0,1.0,0.0,1.0,0.0,1.1118969886832273,-1.5783988003368403,-0.5291324754366128
1,0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.6050708604354966,-1.4099230280538222,-0.26870713485059605
0,1,0,1,0,1.0,0.0,0.0,1.0,0.0,0.9886035207451601,0.14005407694994457,0.7331332059752029
0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.08445142253266633,-1.5783988003368403,-0.7395100890052487
0,0,0,1,1,1.0,0.0,0.0,1.0,0.0,1.6050708604354966,1.7237263364103148,2.696952866108533
0,0,0,0,1,0.0,1.0,0.0,0.0,1.0,1.3995817472053844,-0.43276354881231704,0.5387000010138742
0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.070799166037205,-1.4099230280538222,-0.406892009447258
0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-0.16213551334346832,1.1172135561914496,0.23752783843140582
1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,-0.28542898128153565,-0.702324784465146,-0.5158454682638568
0,0,1,1,1,1.0,0.0,0.0,1.0,0.0,-0.6142115624497152,-1.5783988003368403,-0.8825668662319212
0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,-0.28542898128153565,0.7802620116254134,-0.009167594742763081
0,0,0,1,1,0.0,1.0,0.0,0.0,1.0,-1.230678902140052,1.1172135561914496,-0.9024973769910551
1,0,0,1,0,1.0,0.0,0.0,0.0,1.0,-0.28542898128153565,-0.46645870326892064,-0.43523762474913735
0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.7831144075150479,-0.9044957112047678,-0.1358370631230365
0,0,0,1,1,0.0,1.0,1.0,0.0,0.0,1.6050708604354966,0.8813474749952243,1.8997324357431757
1,0,1,1,0,1.0,0.0,0.0,1.0,0.0,1.6050708604354966,1.7237263364103148,2.696952866108533
0,1,0,1,1,0.0,1.0,0.0,0.0,1.0,-0.6142115624497152,-1.5447036458802366,-0.8745946619282676
0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,-0.7786028530338049,0.30852984923296267,-0.5689934969548807
1,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.4817773924974293,-1.5447036458802366,-0.4228364180545651
0,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.7420165848690254,-0.33167808544250615,0.23088433484502785
0,0,1,1,0,1.0,0.0,1.0,0.0,0.0,-1.2717767247860743,-1.5447036458802366,-1.0163227384376645
0,0,1,1,0,1.0,0.0,0.0,1.0,0.0,0.4132340037008459,0.30852984923296267,0.3943145230699261
0,1,1,0,0,1.0,0.0,0.0,1.0,0.0,-0.20323333598949075,-0.9044957112047678,-0.5503916869130223
